ID	record_id	Criterium	Indicator	Voorwaarde	Waarde	Type	Invoertype	Eenheid
162043_3_9120	162043_3	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
162043_3_9120	162043_3	Structuur	minimum structuurareaal	MSA	71.7774	Decimaal getal	NA	ha
162043_3_9120	162043_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162051_2_91E0_va	162051_2	Structuur	aandeel dood hout	aandeel dood hout	3.842018263228	Percentage	NA	%
162051_2_91E0_va	162051_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162051_2_91E0_va	162051_2	Structuur	bosconstantie	bosconstantie	21	Geheel getal	NA	NA
162051_2_91E0_va	162051_2	Structuur	minimum structuurareaal	MSA	2.0097	Decimaal getal	NA	ha
162051_2_91E0_va	162051_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162051_3_91E0_va	162051_3	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
162051_3_91E0_va	162051_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162051_3_91E0_va	162051_3	Structuur	bosconstantie	bosconstantie	21	Geheel getal	NA	NA
162051_3_91E0_va	162051_3	Structuur	minimum structuurareaal	MSA	2.0097	Decimaal getal	NA	ha
162051_3_91E0_va	162051_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162054_2_9190	162054_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
162054_2_9190	162054_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162054_2_9190	162054_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
162054_2_9190	162054_2	Structuur	minimum structuurareaal	MSA	6.5371	Decimaal getal	NA	ha
162054_2_9190	162054_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162062_2_91E0_vm	162062_2	Structuur	aandeel dood hout	aandeel dood hout	57.4244964427941	Percentage	NA	%
162062_2_91E0_vm	162062_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162062_2_91E0_vm	162062_2	Structuur	bosconstantie	bosconstantie	61	Geheel getal	NA	NA
162062_2_91E0_vm	162062_2	Structuur	minimum structuurareaal	MSA	9.9566	Decimaal getal	NA	ha
162062_2_91E0_vm	162062_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162066_2_9120	162066_2	Structuur	aandeel dood hout	aandeel dood hout	1.00911593252406	Percentage	NA	%
162066_2_9120	162066_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162066_2_9120	162066_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
162066_2_9120	NA	Structuur	minimum structuurareaal	MSA	0	Decimaal getal	NA	ha
162066_2_9120	162066_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162066_3_9120	162066_3	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
162066_3_9120	162066_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162066_3_9120	162066_3	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
162066_3_9120	NA	Structuur	minimum structuurareaal	MSA	0	Decimaal getal	NA	ha
162066_3_9120	162066_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162078_2_9190	162078_2	Structuur	aandeel dood hout	aandeel dood hout	0.392496960160217	Percentage	NA	%
162078_2_9190	162078_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162078_2_9190	162078_2	Structuur	bosconstantie	bosconstantie	81	Geheel getal	NA	NA
162078_2_9190	162078_2	Structuur	minimum structuurareaal	MSA	0.73	Decimaal getal	NA	ha
162078_2_9190	162078_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162085_2_91E0_vm	162085_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
162085_2_91E0_vm	162085_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162085_2_91E0_vm	162085_2	Structuur	bosconstantie	bosconstantie	21	Geheel getal	NA	NA
162085_2_91E0_vm	162085_2	Structuur	minimum structuurareaal	MSA	10.044	Decimaal getal	NA	ha
162085_2_91E0_vm	162085_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162090_2_9120	162090_2	Structuur	aandeel dood hout	aandeel dood hout	5.04088744133922	Percentage	NA	%
162090_2_9120	162090_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162090_2_9120	162090_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
162090_2_9120	162090_2	Structuur	minimum structuurareaal	MSA	4.634	Decimaal getal	NA	ha
162090_2_9120	162090_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162090_3_9120	162090_3	Structuur	aandeel dood hout	aandeel dood hout	26.9084324079611	Percentage	NA	%
162090_3_9120	162090_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162090_3_9120	162090_3	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
162090_3_9120	162090_3	Structuur	minimum structuurareaal	MSA	4.634	Decimaal getal	NA	ha
162090_3_9120	162090_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162093_2_9120	162093_2	Structuur	aandeel dood hout	aandeel dood hout	8.69804328719528	Percentage	NA	%
162093_2_9120	162093_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162093_2_9120	162093_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
162093_2_9120	162093_2	Structuur	minimum structuurareaal	MSA	71.5224	Decimaal getal	NA	ha
162093_2_9120	162093_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162098_2_9160	162098_2	Structuur	aandeel dood hout	aandeel dood hout	87.1028552063035	Percentage	NA	%
162098_2_9160	162098_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162098_2_9160	162098_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
162098_2_9160	162098_2	Structuur	minimum structuurareaal	MSA	21.3126	Decimaal getal	NA	ha
162098_2_9160	162098_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162098_3_9160	162098_3	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
162098_3_9160	162098_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162098_3_9160	162098_3	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
162098_3_9160	162098_3	Structuur	minimum structuurareaal	MSA	21.3126	Decimaal getal	NA	ha
162098_3_9160	162098_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162100_2_9120	162100_2	Structuur	aandeel dood hout	aandeel dood hout	1.99588388300154	Percentage	NA	%
162100_2_9120	162100_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162100_2_9120	162100_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
162100_2_9120	162100_2	Structuur	minimum structuurareaal	MSA	4.1217	Decimaal getal	NA	ha
162100_2_9120	162100_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162100_3_9120	162100_3	Structuur	aandeel dood hout	aandeel dood hout	7.42284122562674	Percentage	NA	%
162100_3_9120	162100_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162100_3_9120	162100_3	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
162100_3_9120	162100_3	Structuur	minimum structuurareaal	MSA	4.1217	Decimaal getal	NA	ha
162100_3_9120	162100_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162101_2_9120	162101_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
162101_2_9120	162101_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162101_2_9120	162101_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
162101_2_9120	162101_2	Structuur	minimum structuurareaal	MSA	71.5224	Decimaal getal	NA	ha
162101_2_9120	162101_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162126_2_9120	162126_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
162126_2_9120	162126_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162126_2_9120	162126_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
162126_2_9120	NA	Structuur	minimum structuurareaal	MSA	0	Decimaal getal	NA	ha
162126_2_9120	162126_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162129_2_9120	162129_2	Structuur	aandeel dood hout	aandeel dood hout	14.7818390635043	Percentage	NA	%
162129_2_9120	162129_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162129_2_9120	162129_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
162129_2_9120	162129_2	Structuur	minimum structuurareaal	MSA	40.5376	Decimaal getal	NA	ha
162129_2_9120	162129_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
162129_3_9120	162129_3	Structuur	aandeel dood hout	aandeel dood hout	10.5037793449135	Percentage	NA	%
162129_3_9120	162129_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
162129_3_9120	162129_3	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
162129_3_9120	162129_3	Structuur	minimum structuurareaal	MSA	40.5376	Decimaal getal	NA	ha
162129_3_9120	162129_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
163003_2_91E0_vm	163003_2	Structuur	aandeel dood hout	aandeel dood hout	6.73477536017653	Percentage	NA	%
163003_2_91E0_vm	163003_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
163003_2_91E0_vm	163003_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
163003_2_91E0_vm	163003_2	Structuur	minimum structuurareaal	MSA	9.6691	Decimaal getal	NA	ha
163003_2_91E0_vm	163003_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
163006_2_91E0_va	163006_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
163006_2_91E0_va	163006_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
163006_2_91E0_va	163006_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
163006_2_91E0_va	163006_2	Structuur	minimum structuurareaal	MSA	0.8711	Decimaal getal	NA	ha
163006_2_91E0_va	163006_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
163006_2_91E0_vn	163006_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
163006_2_91E0_vn	163006_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
163006_2_91E0_vn	163006_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
163006_2_91E0_vn	163006_2	Structuur	minimum structuurareaal	MSA	1.0954	Decimaal getal	NA	ha
163006_2_91E0_vn	163006_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
163021_2_91E0_va	163021_2	Structuur	aandeel dood hout	aandeel dood hout	3.26484138015438	Percentage	NA	%
163021_2_91E0_va	163021_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
163021_2_91E0_va	163021_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
163021_2_91E0_va	163021_2	Structuur	minimum structuurareaal	MSA	2.1601	Decimaal getal	NA	ha
163021_2_91E0_va	163021_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
163021_2_91E0_vn	163021_2	Structuur	aandeel dood hout	aandeel dood hout	3.26484138015438	Percentage	NA	%
163021_2_91E0_vn	163021_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
163021_2_91E0_vn	163021_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
163021_2_91E0_vn	163021_2	Structuur	minimum structuurareaal	MSA	1.8887	Decimaal getal	NA	ha
163021_2_91E0_vn	163021_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
163094_2_9190	163094_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
163094_2_9190	163094_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
163094_2_9190	163094_2	Structuur	bosconstantie	bosconstantie	41	Geheel getal	NA	NA
163094_2_9190	163094_2	Structuur	minimum structuurareaal	MSA	1.1836	Decimaal getal	NA	ha
163094_2_9190	163094_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
163136_2_91E0_vm	163136_2	Structuur	aandeel dood hout	aandeel dood hout	65.6381944150816	Percentage	NA	%
163136_2_91E0_vm	163136_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
163136_2_91E0_vm	163136_2	Structuur	bosconstantie	bosconstantie	20	Geheel getal	NA	NA
163136_2_91E0_vm	163136_2	Structuur	minimum structuurareaal	MSA	9.8895	Decimaal getal	NA	ha
163136_2_91E0_vm	163136_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
163136_2_91E0_vo	163136_2	Structuur	aandeel dood hout	aandeel dood hout	65.6381944150816	Percentage	NA	%
163136_2_91E0_vo	163136_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
163136_2_91E0_vo	163136_2	Structuur	bosconstantie	bosconstantie	20	Geheel getal	NA	NA
163136_2_91E0_vo	163136_2	Structuur	minimum structuurareaal	MSA	0.4854	Decimaal getal	NA	ha
163147_2_9120	163147_2	Structuur	aandeel dood hout	aandeel dood hout	2.44730221267993	Percentage	NA	%
163147_2_9120	163147_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
163147_2_9120	163147_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
163147_2_9120	163147_2	Structuur	minimum structuurareaal	MSA	11.9577	Decimaal getal	NA	ha
163147_2_9120	163147_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
163147_2_9190	163147_2	Structuur	aandeel dood hout	aandeel dood hout	2.44730221267993	Percentage	NA	%
163147_2_9190	163147_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
163147_2_9190	163147_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
163147_2_9190	163147_2	Structuur	minimum structuurareaal	MSA	4.9953	Decimaal getal	NA	ha
163147_2_9190	163147_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
164011_2_9120	164011_2	Structuur	aandeel dood hout	aandeel dood hout	7.92798761484326	Percentage	NA	%
164011_2_9120	164011_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
164011_2_9120	164011_2	Structuur	bosconstantie	bosconstantie	61	Geheel getal	NA	NA
164011_2_9120	164011_2	Structuur	minimum structuurareaal	MSA	0.1801	Decimaal getal	NA	ha
164011_2_9120	164011_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
164124_2_91E0_vm	164124_2	Structuur	aandeel dood hout	aandeel dood hout	17.0537666671213	Percentage	NA	%
164124_2_91E0_vm	164124_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
164124_2_91E0_vm	164124_2	Structuur	bosconstantie	bosconstantie	21	Geheel getal	NA	NA
164124_2_91E0_vm	164124_2	Structuur	minimum structuurareaal	MSA	32.1773	Decimaal getal	NA	ha
164124_2_91E0_vm	164124_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
164126_2_9190	164126_2	Structuur	aandeel dood hout	aandeel dood hout	0.72626776848405	Percentage	NA	%
164126_2_9190	164126_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
164126_2_9190	164126_2	Structuur	bosconstantie	bosconstantie	21	Geheel getal	NA	NA
164126_2_9190	164126_2	Structuur	minimum structuurareaal	MSA	1.1767	Decimaal getal	NA	ha
164126_2_9190	164126_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
164793_2015-04-28_91E0_vc	164793_2015-04-28	Structuur	aandeel dood hout	aandeel dood hout	39.1	Percentage	NA	%
164793_2015-04-28_91E0_vc	164793_2015-04-28	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
164793_2015-04-28_91E0_vc	164793_2015-04-28	Structuur	bosconstantie	bosconstantie	61	Geheel getal	NA	NA
164793_2015-04-28_91E0_vc	164793_2015-04-28	Structuur	minimum structuurareaal	MSA	35.6599	Decimaal getal	NA	ha
164793_2015-04-28_91E0_vc	164793_2015-04-28	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
165046_2_9190	165046_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
165046_2_9190	165046_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
165046_2_9190	165046_2	Structuur	bosconstantie	bosconstantie	51	Geheel getal	NA	NA
165046_2_9190	165046_2	Structuur	minimum structuurareaal	MSA	0.8351	Decimaal getal	NA	ha
165046_2_9190	165046_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
165046_3_9190	165046_3	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
165046_3_9190	165046_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
165046_3_9190	165046_3	Structuur	bosconstantie	bosconstantie	51	Geheel getal	NA	NA
165046_3_9190	165046_3	Structuur	minimum structuurareaal	MSA	0.8351	Decimaal getal	NA	ha
165046_3_9190	165046_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	1	Ja/nee	NA	NA
165062_2_9120	165062_2	Structuur	aandeel dood hout	aandeel dood hout	35.7738525634404	Percentage	NA	%
165062_2_9120	165062_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
165062_2_9120	165062_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
165062_2_9120	NA	Structuur	minimum structuurareaal	MSA	0	Decimaal getal	NA	ha
165062_2_9120	165062_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
165062_3_9120	165062_3	Structuur	aandeel dood hout	aandeel dood hout	10.5932401605895	Percentage	NA	%
165062_3_9120	165062_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
165062_3_9120	165062_3	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
165062_3_9120	NA	Structuur	minimum structuurareaal	MSA	0	Decimaal getal	NA	ha
165062_3_9120	165062_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
165087_3_9120	165087_3	Structuur	aandeel dood hout	aandeel dood hout	0.479889033878194	Percentage	NA	%
165087_3_9120	165087_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
165087_3_9120	165087_3	Structuur	bosconstantie	bosconstantie	20	Geheel getal	NA	NA
165087_3_9120	165087_3	Structuur	minimum structuurareaal	MSA	10.6331	Decimaal getal	NA	ha
165087_3_9120	165087_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
165913_2016-05-11_91E0_vc	165913_2016-05-11	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
165913_2016-05-11_91E0_vc	165913_2016-05-11	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
165913_2016-05-11_91E0_vc	165913_2016-05-11	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
165913_2016-05-11_91E0_vc	165913_2016-05-11	Structuur	minimum structuurareaal	MSA	5.5303	Decimaal getal	NA	ha
165913_2016-05-11_91E0_vc	165913_2016-05-11	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
166005_2_9190	166005_2	Structuur	aandeel dood hout	aandeel dood hout	7.56357673999802	Percentage	NA	%
166005_2_9190	166005_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
166005_2_9190	166005_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
166005_2_9190	166005_2	Structuur	minimum structuurareaal	MSA	12.1211	Decimaal getal	NA	ha
166005_2_9190	166005_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
166032_2_91E0_vo	166032_2	Structuur	aandeel dood hout	aandeel dood hout	8.97132261859316	Percentage	NA	%
166032_2_91E0_vo	166032_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
166032_2_91E0_vo	166032_2	Structuur	bosconstantie	bosconstantie	81	Geheel getal	NA	NA
166032_2_91E0_vo	166032_2	Structuur	minimum structuurareaal	MSA	1.2547	Decimaal getal	NA	ha
166050_2_9190	166050_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
166050_2_9190	166050_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
166050_2_9190	166050_2	Structuur	bosconstantie	bosconstantie	61	Geheel getal	NA	NA
166050_2_9190	NA	Structuur	minimum structuurareaal	MSA	0	Decimaal getal	NA	ha
166050_2_9190	166050_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
166050_3_9190	166050_3	Structuur	aandeel dood hout	aandeel dood hout	0.636681564894358	Percentage	NA	%
166050_3_9190	166050_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
166050_3_9190	166050_3	Structuur	bosconstantie	bosconstantie	61	Geheel getal	NA	NA
166050_3_9190	NA	Structuur	minimum structuurareaal	MSA	0	Decimaal getal	NA	ha
166050_3_9190	166050_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	1	Ja/nee	NA	NA
166092_2_9190	166092_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
166092_2_9190	166092_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
166092_2_9190	166092_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
166092_2_9190	166092_2	Structuur	minimum structuurareaal	MSA	36.4564	Decimaal getal	NA	ha
166092_2_9190	166092_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
166092_3_9190	166092_3	Structuur	aandeel dood hout	aandeel dood hout	27.3122509186895	Percentage	NA	%
166092_3_9190	166092_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
166092_3_9190	166092_3	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
166092_3_9190	166092_3	Structuur	minimum structuurareaal	MSA	36.4564	Decimaal getal	NA	ha
166092_3_9190	166092_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
166156_2_9120	166156_2	Structuur	aandeel dood hout	aandeel dood hout	0.94443948987782	Percentage	NA	%
166156_2_9120	166156_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
166156_2_9120	166156_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
166156_2_9120	166156_2	Structuur	minimum structuurareaal	MSA	31.2488	Decimaal getal	NA	ha
166156_2_9120	166156_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
166156_3_9120	166156_3	Structuur	aandeel dood hout	aandeel dood hout	3.57045608216638	Percentage	NA	%
166156_3_9120	166156_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
166156_3_9120	166156_3	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
166156_3_9120	166156_3	Structuur	minimum structuurareaal	MSA	31.2488	Decimaal getal	NA	ha
166156_3_9120	166156_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
