id	type_analysis	status	aggregatiemethode	index_min_min	index_min_harm	index_harm_harm	versie	kwaliteitsniveau
218322_2014-09-19	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
218322_2019-08-23	4030	1	RapportageHR	-0.76	-0.467455621301775	-0.217032967032967	Versie 3	1
219446_2018-09-14	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
222194_2017-07-14	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
222418_2023-07-06	2330_dw	1	RapportageHR	-0.5	-0.0879989406445645	-0.0879989406445645	Versie 3	1
224850_2017-07-25	4030	0	RapportageHR	-0.583333333333333	-0.318181818181818	0.0276788152557617	Versie 3	1
224850_2024-07-02	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
225334_2024-06-24	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
225910_2014-09-23	2330_bu	0	RapportageHR	-0.9	-0.783653846153847	-0.634784465881181	Versie 3	1
225910_2022-09-09	2330_bu	0	RapportageHR	-0.7	-0.386363636363637	-0.127769724580659	Versie 3	1
226014_2019-06-24	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
226230_2014-09-08	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
226606_2018-09-24	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
229074_2018-08-01	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
229362_2022-09-28	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
230110_2018-08-14	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
233398_2018-08-08	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
234974_2018-09-21	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
23538_2014-08-25	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
23538_2022-09-01	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
236370_2014-08-27	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
236370_2022-09-02	2330_bu	0	RapportageHR	-0.583333333333333	-0.419275123558484	-0.209636912187375	Versie 3	1
236530_2017-07-03	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
236530_2024-07-04	4010	1	RapportageHR	-1	-1	-1	Versie 3	1
236754_2018-07-31	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
23762_2014-09-11	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
23762_2022-09-07	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
238578_2022-09-28	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
239838_2017-09-07	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
240466_2017-07-10	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
240466_2024-07-01	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
241234_2017-07-25	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
241650_2017-07-26	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
242398_2017-08-21	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
242398_2024-06-20	2310	1	RapportageHR	-0.5	-0.341463414634146	-0.169353172472712	Versie 3	1
243698_2017-07-04	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
243698_2024-07-04	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
