id	type_analysis	criterium	status_criterium	aggregatiemethode	index_min_criterium	index_harm_criterium	versie	kwaliteitsniveau
1284946_2017-07-13	2330_bu	Structuur	1	RapportageHR	0.0555555555555555	0.135171668018383	Versie 3	1
1284946_2017-07-13	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1284946_2017-07-13	2330_bu	Verstoring	0	RapportageHR	-0.333333333333333	-0.0649064906490648	Versie 3	1
1285330_2018-07-31	2330_bu	Structuur	0	RapportageHR	-0.85	-0.735371179039302	Versie 3	1
1285330_2018-07-31	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1285330_2018-07-31	2330_bu	Verstoring	0	RapportageHR	-0.107142857142857	0.0971412180896833	Versie 3	1
1285330_2018-07-31	2330_dw	Structuur	0	RapportageHR	-0.744304159407435	-0.744304159407435	Versie 3	1
1285330_2018-07-31	2330_dw	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1285330_2018-07-31	2330_dw	Verstoring	0	RapportageHR	-0.0555555555555555	0.238866396761134	Versie 3	1
128722_2022-09-20	4030	Structuur	1	RapportageHR	0	0.25	Versie 3	1
128722_2022-09-20	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
128722_2022-09-20	4030	Verstoring	1	RapportageHR	-0.111111111111111	0.523809523809524	Versie 3	1
128786_2018-07-18	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
128786_2018-07-18	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
128786_2018-07-18	4030	Verstoring	1	RapportageHR	0.25	0.64080988693137	Versie 3	1
129234_2014-09-11	4010	Structuur	0	RapportageHR	-1	-1	Versie 3	1
129234_2014-09-11	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
129234_2014-09-11	4010	Verstoring	0	RapportageHR	-0.75	-0.621621621621622	Versie 3	1
129234_2022-09-22	4010	Structuur	0	RapportageHR	-0.933333333333333	-0.933333333333333	Versie 3	1
129234_2022-09-22	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
129234_2022-09-22	4010	Verstoring	1	RapportageHR	1	1	Versie 3	1
