autonummering;Veldcode;IDToonW;sampling_unit_code;naam;SGO__km²_;SBZ;provincie;x;y;AfstandTot;RankingGRT;SGO;Volgorde_cyclus1;Jaar cyclus 1;jaar_cyclus2;FID_1;UIDN;OIDN;VHAS;VHAG;NAAM_1;REGCODE;REGCODE1;BEHEER;CATC;LBLCATC;BEKNR;BEKNAAM;STRMGEB;KWALDOEL;LBLKWAL;GEO;LBLGEO;VHAZONENR;WTRLICHC;LENGTE;Distance;bron+datum_cyclus1;Opm_cyclus1;bron+datum_cyclus2;Opm_cyclus2;"verplaatsing (geen: 0; origineel: -1 of verplaatst: 1; meetpunt geschrapt door ongeschikt: -2)";
61;AntGr_03;1692;1_4_1692;ANTITANKKANAAL;<10;intersecting or downstream;Antwerpen;167003,1074;213204,267;6,636086;7550870;<10;18;5;;18846;375697;93341;6042142;17603;Antitankkanaal; ; ;V0101;1;Geklasseerd, eerste categorie;4;Beneden-Scheldebekken;Schelde;310;Viswater;0;10 tot 2.5 m;108;L111_1114;2077,03;0,000013;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
62;Dommel_03;95;1_4_95;DOMMEL;>50;intersecting or downstream;Limburg;224626,8689;212537,6351;15,739421;946450;>10;18;3;2022;22614;380000;62394;6018059;9512;Dommel;L6; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;935;VL05_136;666,54;0,001735;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
63;BorBe_01;1011;1_4_1011;BORNEBEEK;<10;intersecting or downstream;West-Vlaanderen;74428,09023;200450,4407;11,769112;8185921;<10;19;5;;20360;396446;68049;6022898;1179;Bornebeek;WO.11.; ;30000;2;Geklasseerd, tweede categorie;2;Bekken Brugse polders;Brugse Polders;100;Basiskwaliteit;1;2.5 tot 0.25 m;155;L213_164;2571,52;0,0033;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
64;IttBe_01;516;1_4_516;ITTERBEEK;10-50;intersecting or downstream;Limburg;239836,4095;202029,3509;1,407089;947026;>10;19;3;2022;10689;361170;56174;6010577;9522;Itterbeek;L24; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;922;L111_1088;1914,12;0,004415;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
65;Dommel_01o;1105;1_4_1105;DOMMEL;>50;intersecting or downstream;Limburg;223946,2052;218194,3706;13,312205;1001746;>10;20;3;;6083;393053;35597;3600492;10063;Over De Dommelloop;L776; ;72025;3;Geklasseerd, derde categorie;11;Maasbekken;Maas;100;Basiskwaliteit;2;< 0.25 m;935;NL_M;615,88;13,901762;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
66;Renne_02;395;1_4_395;RENNE;<10;intersecting or downstream;Limburg;246562,8942;206416,0221;5,635258;8319378;<10;20;5;;4144;391006;56055;6011050;10143;Renne;L20; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;2;< 0.25 m;922;L213_141;18,09;0,0024;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
67;Abeek_03;368;1_4_368;ABEEK;<10;intersecting or downstream;Limburg;230959,3509;196931,728;17,625791;8417234;<10;21;5;;36656;399678;82361;6031304;9505;Abeek;L19; ;W7.13;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;921;L213_133;2990,11;9,715905;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
68;Dommel_10;1117;1_4_1117;DOMMEL;>50;intersecting or downstream;Limburg;223461,3057;217154,0529;14,316452;1018130;>10;21;3;2023;44561;425718;62594;6018150;9512;Dommel;L6; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;935;VL05_136;737,62;3,175036;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
69;GouLo_09;815;1_4_815;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;180499,4652;243103,0442;18,155911;8469598;<10;22;5;;32131;386758;74307;6027571;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;779,53;2,8115;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
70;Maas_18;1811;1_4_1811;MAAS;>50;intersecting or downstream;Limburg;243005,0078;176670,6351;15,489548;1135858;>10;22;3;2023;24071;373363;22349;6000026;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;14019,75;0,002808;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
71;WarBe_01;422;1_4_422;WARMBEEK;>50;intersecting or downstream;Limburg;228633,3704;214184,0483;7,38981;1269266;>10;23;3;;26796;372117;54306;6010064;9508;Warmbeek;L60; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;931;VL05_147;1660,86;0,002602;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
72;ZwaBe_01;1459;1_4_1459;ZWARTEBEEK;<10;intersecting or downstream;Limburg;219906,5164;198739,059;6,979049;8976594;<10;23;6;;127;425095;92198;6040681;7157;Zwarte Beek;L14; ;W7.01;2;Geklasseerd, tweede categorie;9;Demerbekken;Schelde;310;Viswater;1;2.5 tot 0.25 m;662;L213_117;1202,72;1,235292;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
73;BolBe_08_o;491;1_4_491;BOLLISENBEEK;10-50;intersecting or downstream;Limburg;222732,9645;204137,1834;16,143739;1296146;>10;24;3;;37326;359715;82135;6031250;9702;Bollisenbeek;L71; ;W7.10;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;935;L107_854;130,4;3,359076;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
74;Renne_07;390;1_4_390;RENNE;<10;intersecting or downstream;Limburg;246848,55;206803,7081;6,328407;9302418;<10;24;6;;34598;423208;55593;6010710;10143;Renne;L20; ;W7.02;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;0;10 tot 2.5 m;922;L213_141;1207,65;0,001845;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
75;GouLo_04;824;1_4_824;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;181146,8851;242741,9545;8,295026;9436254;<10;25;6;;9982;416703;26360;1000593;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;1176,94;1,955158;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
76;Maas_19;1824;1_4_1824;MAAS;>50;intersecting or downstream;Limburg;243401,5278;177860,9634;15,039577;1309170;>10;25;4;2023;24071;373363;22349;6000026;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;14019,75;0,000374;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
77;Asbeek_01;1765;1_4_1765;ASBEEK;10-50;intersecting or downstream;Antwerpen;207272,8843;203969,3144;17,068566;1480566;>10;26;4;;9226;358221;56692;6012144;8953;Asbeek;A.7.33; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;500;L111_1065;4048,67;0,540407;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
78;GieBe_03;945;1_4_945;GIELISBEEK;<10;intersecting or downstream;Limburg;228204,4071;200694,2246;16,890097;9844690;<10;26;6;;24467;398841;82351;6031294;9663;Gielisbeek;L87; ;W7.13;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;921;L213_133;5505,7;0,002192;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
79;Abeek_06;541;1_4_541;ABEEK;<10;intersecting or downstream;Limburg;230428,2987;198290,7908;4,852762;10930130;<10;27;7;;39989;412966;82365;6031308;9505;Abeek;L19; ;W7.13;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;921;L213_133;290,65;2,69094;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
80;Maas_11;207;1_4_207;MAAS;>50;intersecting or downstream;Limburg;247213,8569;187245,5671;16,274087;1484114;>10;27;4;2023;8201;356824;22345;6000008;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;7589,74;0,001555;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
81;BriLo_06;882;1_4_882;BRISDILLOOP;<10;intersecting or downstream;Antwerpen;211215,1556;204948,3272;15,716839;11085430;<10;28;7;;38444;389267;66403;6021805;9048;Brisdilloop;A.7.33.2; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;500;L213_123;2540,38;0,055479;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
82;LaaBe_01;1471;1_4_1471;LAAKBEEK;10-50;intersecting or downstream;Antwerpen;183457,3626;213567,3044;15,281662;1496534;>10;28;4;;10433;361967;45334;6000484;8572;Laakbeek;A.9.05; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;541;L111_1052;783,41;1,095764;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
83;GouLo_05;826;1_4_826;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;181207,2953;242554,1136;13,551722;12385374;<10;29;7;;9982;416703;26360;1000593;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;1176,94;5,05843;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
84;KleNe_07;1147;1_4_1147;KLEINE NETE;>50;intersecting or downstream;Antwerpen;179280,9147;208326,4084;14,83521;1528790;>10;29;4;;40750;426362;103522;7039208;8502;Kleine Nete;A.8; ;V0101;1;Geklasseerd, eerste categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;532;VL11_127;1125,2;0,002302;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
85;BolBe_03;475;1_4_475;BOLLISENBEEK;<10;intersecting or downstream;Limburg;223830,7871;198025,9827;7,960512;12995794;<10;30;7;;7992;392488;62874;6018377;9702;Bollisenbeek;L71; ;W7.10;3;Geklasseerd, derde categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;935;L213_136;2811,62;0,001773;orginele steekproeftrekking 2014;gemeten <= 2019;extra meetpunt in 2022 voor evinbo-project milklim;gemeten in 2022;0;
86;RodLo_02;1286;1_4_1286;RODE LOOP;10-50;intersecting or downstream;Antwerpen;193866,7382;216192,9485;18,604917;1604598;>10;30;4;;5193;433139;97350;7013677;9013;Rode Loop;A.8.20.0; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;531;L107_723;201,47;0,641396;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
87;BolBe_04;473;1_4_473;BOLLISENBEEK;<10;intersecting or downstream;Limburg;223739,7659;198200,6878;10,730758;13119698;<10;31;8;;7992;392488;62874;6018377;9702;Bollisenbeek;L71; ;W7.10;3;Geklasseerd, derde categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;935;L213_136;2811,62;0,002597;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
88;WarBe_02;435;1_4_435;WARMBEEK;>50;intersecting or downstream;Limburg;228575,49;214719,5494;14,687332;1880594;>10;31;4;;26796;372117;54306;6010064;9508;Warmbeek;L60; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;931;VL05_147;1660,86;0,001241;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
89;GouLo_14;810;1_4_810;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;180164,1405;243218,9844;25,913355;13757278;<10;32;8;;32132;386759;74308;6027572;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;1170,29;1,067569;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
90;Maas_04;125;1_4_125;MAAS;>50;intersecting or downstream;Limburg;248229,2375;194017,6509;41,558265;1917010;>10;32;4;;8199;356822;22343;6000006;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;2973,21;0,001519;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
91;GouLo_10;819;1_4_819;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;180758,8148;242996,3794;9,229871;14154846;<10;33;8;;32131;386758;74307;6027571;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;779,53;5,166022;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
92;GroNe_05;1565;1_4_1565;GROTE NETE;10-50;intersecting or downstream;Antwerpen;209496,4283;206289,8014;6,345343;1980278;>10;33;5;;9227;358222;38691;1502746;8501;Grote Nete;A.7; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;500;L107_708;1384,71;2,661879;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
93;GouLo_11;817;1_4_817;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;180629,4291;243028,0759;10,108532;14761054;<10;34;8;;32131;386758;74307;6027571;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;779,53;5,398106;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
94;GroNe_10;1393;1_4_1393;GROTE NETE;>50;intersecting or downstream;Antwerpen;199781,6997;203276,7698;8,218331;2133494;>10;34;5;2023;24789;381916;100846;7027787;8501;Grote Nete;A.7; ;V0101;1;Geklasseerd, eerste categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;502;VL11_123;668,5;0,003408;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
95;GouLo_15;808;1_4_808;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;180065,9275;243280,4346;4,917778;14805854;<10;35;8;;32132;386759;74308;6027572;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;1170,29;1,569373;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
96;KleNe_01;964;1_4_964;KLEINE NETE;>50;intersecting or downstream;Antwerpen;197326,7122;215148,8567;14,932741;2192630;>10;35;5;;1178;424623;103049;7036565;8502;Kleine Nete;A.8; ;V0101;1;Geklasseerd, eerste categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;530;VL11_126;496,91;0,003488;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
97;GieBe_04;944;1_4_944;GIELISBEEK;<10;intersecting or downstream;Limburg;228266,6316;200754,6702;13,812883;15087570;<10;36;9;;24467;398841;82351;6031294;9663;Gielisbeek;L87; ;W7.13;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;921;L213_133;5505,7;0,003327;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
98;Maas_16;222;1_4_222;MAAS;>50;intersecting or downstream;Limburg;246168,5505;186296,6767;34,442763;2221394;>10;36;5;;8202;356825;71032;6025661;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;2265,06;0,002797;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
99;Berwijn_03;348;1_4_348;BERWIJN;>50;intersecting or downstream;Limburg;245151,9591;161385,9056;4,828103;2241970;>10;37;5;2023;4297;357829;36139;3600721;9536;Berwijn;L03; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;VL05_134;5000,33;0,003309;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
100;GouLo_06;821;1_4_821;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;180936,6051;242946,9425;23,561267;15203422;<10;37;9;;9982;416703;26360;1000593;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;1176,94;4,641475;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
101;Dommel_09;1110;1_4_1110;DOMMEL;>50;intersecting or downstream;Limburg;223798,5723;217741,6208;7,036944;2246930;>10;38;5;2023;44559;425715;62595;6018151;9512;Dommel;L6; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;935;VL05_136;2431,55;1,112817;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
102;GouLo_01;792;1_4_792;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;178918,8426;243415,8393;13,422553;15522654;<10;38;9;;1779;424554;102980;7033920;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;501,73;2,325951;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
103;BorBe_02;1008;1_4_1008;BORNEBEEK;<10;intersecting or downstream;West-Vlaanderen;74266,94055;200677,3347;9,170584;16967745;<10;39;9;;20360;396446;68049;6022898;1179;Bornebeek;WO.11.; ;30000;2;Geklasseerd, tweede categorie;2;Bekken Brugse polders;Brugse Polders;100;Basiskwaliteit;1;2.5 tot 0.25 m;155;L213_164;2571,52;0,000346;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
104;Maas_20;270;1_4_270;MAAS;>50;intersecting or downstream;Limburg;246741,7192;184338,7835;9,1536;2252274;>10;39;5;2024;24071;373363;22349;6000026;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;14019,75;0,003953;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
105;Abeek_05;861;1_4_861;ABEEK;<10;intersecting or downstream;Limburg;230673,2389;195863,1995;15,334676;17279954;<10;40;10;;39744;413386;55420;6010535;9505;Abeek;L19; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;1;2.5 tot 0.25 m;921;L213_133;399,95;1,178187;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
106;KleNe_03;603;1_4_603;KLEINE NETE;>50;intersecting or downstream;Antwerpen;184630,4418;208996,0251;12,365363;2291670;>10;40;5;2024;20202;372501;56736;6011607;8502;Kleine Nete;A.8; ;V0101;1;Geklasseerd, eerste categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;532;VL11_127;1121,31;0,003538;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
107;BolBe_05;1239;1_4_1239;BOLLISENBEEK;<10;intersecting or downstream;Limburg;222714,8836;199078,0872;8,471;17963218;<10;41;10;;7992;392488;62874;6018377;9702;Bollisenbeek;L71; ;W7.10;3;Geklasseerd, derde categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;935;L213_136;2811,62;0,002624;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
108;Maas_05;118;1_4_118;MAAS;>50;intersecting or downstream;Limburg;248393,3584;194692,6883;15,075944;2342994;>10;41;6;2024;8199;356822;22343;6000006;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;2973,21;0,000398;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
109;BosBe_02;55;1_4_55;BOSBEEK;>50;intersecting or downstream;Limburg;242952,8634;197998,6957;11,286407;2369362;>10;42;6;2024;36240;358563;39722;28732;10004;Bosbeek;L52; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;100;Basiskwaliteit;2;< 0.25 m;922;VL05_135;3276,8;0,003965;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
110;GouLo_07;820;1_4_820;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;180842,8059;242969,4784;17,428929;18349150;<10;42;10;;9982;416703;26360;1000593;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;1176,94;9,365551;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
111;GroNe_09;1402;1_4_1402;GROTE NETE;>50;intersecting or downstream;Antwerpen;200562,0601;203135,9229;18,285444;2465270;>10;43;6;;13827;363441;35155;28484;8501;Grote Nete;A.7; ;V0101;1;Geklasseerd, eerste categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;502;VL11_123;2028,77;0,002955;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
112;OudDo_01;109;1_4_109;OUDE DOMMEL;<10;intersecting or downstream;Limburg;225054,0835;211009,2566;12,866328;18530578;<10;43;10;;12346;416025;96596;7008864;9816;Oude Dommel;L66; ;V0102;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;1;2.5 tot 0.25 m;935;L213_136;495,97;0,176279;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
113;Maas_21;1859;1_4_1859;MAAS;>50;intersecting or downstream;Limburg;245486,0601;179315,6867;17,385612;2476530;>10;44;6;2024;24071;373363;22349;6000026;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;14019,75;0,000334;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
114;ZwaBe_02;1461;1_4_1461;ZWARTEBEEK;<10;intersecting or downstream;Limburg;220057,3561;198860,9877;4,382992;18675922;<10;44;10;;127;425095;92198;6040681;7157;Zwarte Beek;L14; ;W7.01;2;Geklasseerd, tweede categorie;9;Demerbekken;Schelde;310;Viswater;1;2.5 tot 0.25 m;662;L213_117;1202,72;2,539384;orginele steekproeftrekking 2014;gemeten <= 2019;extra meetpunt in 2022 voor evinbo-project milklim;gemeten in 2022;0;
115;BriLo_07;870;1_4_870;BRISDILLOOP;<10;intersecting or downstream;Antwerpen;210026,3292;204876,592;12,827789;18872182;<10;45;11;;38444;389267;66403;6021805;9048;Brisdilloop;A.7.33.2; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;500;L213_123;2540,38;0,255855;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
116;Maas_22;292;1_4_292;MAAS;>50;intersecting or downstream;Limburg;247113,5827;182946,6052;16,619891;2477554;>10;45;6;2024;24071;373363;22349;6000026;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;14019,75;0,003466;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
117;BriLo_08;878;1_4_878;BRISDILLOOP;<10;intersecting or downstream;Antwerpen;210810,8516;204865,8815;12,535271;19801718;<10;46;11;;38444;389267;66403;6021805;9048;Brisdilloop;A.7.33.2; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;500;L213_123;2540,38;0,074596;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
118;Maas_12;200;1_4_200;MAAS;>50;intersecting or downstream;Limburg;247577,6816;187835,5887;33,648164;2548050;>10;46;6;2024;8201;356824;22345;6000008;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;7589,74;0,002966;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
119;GouLo_16;796;1_4_796;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;179192,2455;243332,504;23,019934;20241246;<10;47;11;;32396;386753;74304;6027568;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;371,4;1,946798;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
120;Voer_02;956;1_4_956;VOER;10-50;intersecting or downstream;Limburg;251490,8619;160895,34;15,685379;2589570;>10;47;6;2024;7499;359045;36150;28557;9574;Voer;L001; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;L107_891;1506,83;0,0038;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
121;Abeek_02;44;1_4_44;ABEEK;>50;intersecting or downstream;Limburg;238208,4749;208398,335;2,891417;2608274;>10;48;6;;17593;364336;30122;27608;9505;Abeek;L19; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;921;VL11_133;1073,84;0,002599;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
122;BolBe_06;476;1_4_476;BOLLISENBEEK;<10;intersecting or downstream;Limburg;223875,1057;197937,9517;6,718049;20335826;<10;48;11;;7992;392488;62874;6018377;9702;Bollisenbeek;L71; ;W7.10;3;Geklasseerd, derde categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;935;L213_136;2811,62;0,00171;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
123;DesNe_03;1458;1_4_1458;DESSELSE NEET;10-50;intersecting or downstream;Antwerpen;202424,0752;217095,3648;8,716676;2685046;>10;49;7;2024;4300;357836;78652;6030580;8710;Desselse Neet;A.8.22; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;530;L111_717;2915,92;1,242456;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
