"";"codeplas";"inbocode"
"620";"WVLOOS0196";"MID_002b"
"621";"WVLNWP0092";"IJZ_004"
"622";"WVLMID0282";"SBE_005"
"623";"WVLOSK0526";"WV_LEI_003"
"624";"WVLKOK0156";"TYD_023"
"625";"WVLKOK0157";"TYD_018"
"626";"WVLKOK0158";"TYD_008"
"627";"WVLKOK0159";"TYD_016"
"628";"WVLKOK0167";"NOD_012"
"629";"WVLDEP0139";"HOS_011"
"630";"WVLDEP0140";"HOS_021"
"631";"WVLDEP0152";"CAB_039"
"632";"WVLDEP0153";"CAB_037"
"633";"WVLDEP0154";"CAB_032"
"634";"VBRKRB0004";"VB_KOR_001"
"635";"VBRKAM0021";"VB_TOR_003"
"636";"VBRKAM0057";"VB_TOR_001"
"637";"VBRARS0043";"VB_VOR_002"
"638";"VBRARS0052";"VB_VOR_005"
"639";"VBRSZI0213";"VB_VIE_005"
"640";"VBRSZI0235";"VB_VIE_001"
"641";"VBRSZI0243";"VB_VIE_007"
"642";"VBRSZI0277";"VB_VIE_002"
"643";"VBRSZI0297";"VB_VIE_004"
"644";"VBRSZI0315";"VB_VIE_006"
"645";"VBRHOL0040";"VB_KBL_002"
"646";"VBRZOU0046";"VB_VIN_002"
"647";"VBRDIE0220";"VB_VDB_002"
"648";"VBRSZI0333";"VB_ABH_009"
"649";"VBRSZI0346";"VB_ABH_001"
"650";"VBRDIE0330";"VB_VDB_001"
"651";"VBRARS0370";"VB_VOR_004"
"652";"VBRSZI0401";"VB_VIE_003"
"653";"LIMTES0026";"LI_ABH_011"
"654";"LIMTES0032";"LI_ABH_005"
"655";"LIMLOM0030";"LI_LOM_001"
"656";"LIMNEE0011";"LI_HAG_001"
"657";"LIMHHE0001";"LI_VZB_002"
"658";"LIMHHE0002";"LI_VZB_003"
"659";"LIMBRG0182";"LI_VZB_006"
"660";"LIMHEC0041";"LI_BEG_001"
"661";"LIMBRG0199";"LI_VZB_008"
"662";"LIMHHE0005";"LI_VZB_007"
"663";"LIMHHE0008";"LI_VZB_005"
"664";"LIMLOM0211";"LI_KAT_001"
"665";"LIMHEC0120";"LI_PIJ_002"
"666";"LIMHEC0128";"LI_EKS_001"
"667";"LIMOVP0094";"LI_PIJ_001"
"668";"LIMHEC0201";"LI_DOM_002"
"669";"LIMHHE0112";"LI_KEL_001"
"670";"LIMOPG0009";"LI_OPH_006"
"671";"LIMOPG0020";"LI_OPH_005"
"672";"LIMMSK0030";"LI_BER_004"
"673";"LIMMSK0113";"LI_BBV_002"
"674";"LIMBRE0077";"LI_KBR_004"
"675";"LIMMSK0151";"LI_DBR_001"
"676";"LIMMSK0163";"LI_DBR_003"
"677";"LIMKIN0100";"LI_MOB_001"
"678";"LIMNEE0213";"LI_HAG_003"
"679";"LIMLOM0234";"LI_HAG_004"
"680";"LIMLOM0239";"LI_HAG_002"
"681";"LIMTES0125";"LI_ABH_004"
"682";"LIMTES0127";"LI_ABH_002"
"683";"LIMNEE0254";"LI_KOL_001"
"684";"LIMHEC0391";"LI_BEG_003"
"685";"LIMMSK0341";"LI_SCH_001"
"686";"LIMOPG0122";"LI_BBV_001"
"687";"LIMKIN0192";"LI_BAT_001"
"688";"LIMMGR0262";"LI_DON_003"
"689";"LIMMSK0425";"LI_DBR_002"
"690";"LIMBRE0263";"LI_LUY_001"
"691";"LIMHAS0103";"LI_TOM_001"
"692";"LIMHAS0281";"LI_TOM_002"
"693";"LIMGNK0010";"LI_MAT_008"
"694";"LIMGNK0025";"LI_MAT_005"
"695";"LIMDPB0158";"LI_MAT_012"
"696";"LIMGNK0035";"LI_MAT_007"
"697";"LIMHLN0068";"LI_HAL_002"
"698";"LIMHVL0092";"LI_LBV_003"
"699";"LIMZNH0036";"LI_MLV_021"
"700";"LIMHAS0463";"LI_MLV_029"
"701";"LIMGNK0040";"LI_BOK_008"
"702";"LIMZNH0065";"LI_MLV_020"
"703";"LIMHAS0482";"LI_BOK_006"
"704";"LIMZNH0206";"LI_MLV_022"
"705";"LIMHAS0514";"LI_MLV_026"
"706";"LIMZNH0225";"LI_MLV_014"
"707";"LIMZNH0231";"LI_SBB_004"
"708";"LIMHAS0541";"LI_MLV_003"
"709";"LIMHAS0544";"LI_MLV_002"
"710";"LIMGNK0050";"LI_MAT_009"
"711";"LIMGNK0055";"LI_MAT_011"
"712";"LIMGNK0060";"LI_BOK_007"
"713";"LIMGNK0062";"LI_MAT_003"
"714";"LIMGNK0064";"LI_BOK_001"
"715";"LIMZNH0318";"LI_TEU_004"
"716";"LIMGNK0081";"LI_MAT_016"
"717";"LIMZNH0333";"LI_TEU_002"
"718";"LIMGNK0089";"LI_WIK_005"
"719";"LIMZNH0338";"LI_TEU_003"
"720";"LIMGNK0095";"LI_WIK_003"
"721";"LIMGNK0103";"LI_WIK_009"
"722";"LIMGNK0118";"LI_MAT_015"
"723";"LIMGNK0119";"LI_MAT_004"
"724";"LIMGNK0127";"LI_BOK_002"
"725";"LIMZNH0360";"LI_TEU_001"
"726";"LIMGNK0142";"LI_MAT_010"
"727";"LIMGNK0144";"LI_WIK_007"
"728";"LIMGNK0147";"LI_BOK_003"
"729";"LIMGNK0152";"LI_STI_001"
"730";"LIMGNK0156";"LI_WIK_008"
"731";"LIMZNH0374";"LI_TEU_007"
"732";"LIMGNK0167";"LI_BOK_005"
"733";"LIMZNH0385";"LI_SBB_001"
"734";"LIMGNK0177";"LI_WIK_006"
"735";"LIMGNK0180";"LI_MAT_017"
"736";"LIMGNK0182";"LI_MAT_002"
"737";"LIMASS2024";"LI_HEU_003"
"738";"LIMDST0104";"LI_HEU_002"
"739";"LIMMSM0036";"LI_VOB_001"
"740";"LIMBIL0097";"LI_HOE_001"
"741";"LIMBIL0100";"LI_MUN_001"
"742";"LIMZUT0080";"LI_ZUT_001"
"743";"LIMLNK0055";"LI_DRO_001"
"744";"LIMLNK0083";"LI_ASB_001"
"745";"LIMLNK0086";"LI_SLU_001"
"746";"LIMLNK0101";"LI_MAA_003"
"747";"LIMLNK0105";"LI_JUF_001"
"748";"LIMZNH0431";"LI_MLV_006"
"749";"LIMZNH0432";"LI_MLV_013"
"750";"LIMMSM0167";"LI_VOB_002"
"751";"LIMZNH0433";"LI_MLV_009"
"752";"LIMHAS0619";"LI_MLV_025"
"753";"LIMHHE0315";"LI_THD_003"
"754";"LIMHHE0322";"LI_THD_002"
"755";"LIMZNH0437";"LI_TEU_005"
"756";"LIMHLN0163";"LI_HAL_003"
"757";"LIMZNH0477";"LI_MLV_016"
"758";"LIMZNH0478";"LI_MLV_005"
"759";"LIMZNH0509";"LI_SBB_005"
"760";"LIMMSM0197";"LI_MEC_001"
"761";"LIMMSM0198";"LI_MEC_002"
"762";"LIMHAS0671";"LI_MLV_027"
"763";"LIMHAS0672";"LI_MLV_011"
"764";"LIMGNK0372";"LI_WIK_002"
"765";"LIMGNK0374";"LI_WIK_001"
"766";"LIMGNK0384";"LI_MAT_013"
"767";"LIMTON0189";"LI_DKV_002"
"768";"LIMHEE0063";"LI_EGO_001"
"769";"OVLSTK0295";"OV_STB_002"
"770";"ANTHUL0276";"AN_HGA_002"
"771";"ANTKAL0383";"AN_NOL_001"
"772";"ANTBRS0179";"AN_KSV_006"
"773";"ANTSIL0322";"AN_RIN_001"
"774";"ANTRAV0369";"AN_RAV_003"
"775";"ANTOTH0324";"AN_LDL_004"
"776";"ANTMOL0716";"AN_DES_004"
"777";"ANTMOL0720";"AN_RPT_001"
"778";"ANTBAL0711";"AN_MOS_001"
"779";"OVLALT0332";"OV_KRA_002"
"780";"OVLLOK0348";"OV_MOL_001"
"781";"OVLALT0344";"OV_KRA_001"
"782";"WVLKOK0172";"DOP_002"
"783";"WVLBRD0123";"WV_DHE_023"
"784";"WVLBRD0124";"WV_DHE_020"
"785";"VBRSZI0435";"VB_VIE_008"
"786";"LIMHMA0271";"LI_ACH_002"
"787";"LIMHEC0537";"LI_BEG_002"
"788";"LIMOVP0232";"LI_DOM_001"
"789";"LIMMGR0376";"LI_DON_002"
"790";"LIMDPB0315";"LI_LAN_008"
"791";"LIMLUM0401";"LI_GRD_001"
"792";"LIMHAS0849";"LI_MLV_010"
"793";"LIMGNK0396";"LI_MAT_001"
"794";"LIMGNK0397";"LI_BOK_004"
"795";"LIMZNH0563";"LI_TEU_006"
"796";"LIMLNK0237";"LI_ASP_001"
"797";"LIMBIL0336";"LI_MUN_002"
"798";"VBRHOL0202";"VB_KBL_001"
"799";"WVLKOK0179";"NOD_007"
"800";"VBRARS0364";"VB_VOR_003"
"801";"VBRDIE0443";"VB_ASD_001"
"802";"LIMGNK0848";"LI_MAT_006"
"803";"LIMHHE0375";"LI_VZB_001"
"804";"LIMHEC0578";"LI_VZB_004"
"805";"ANTBAL0715";"AN_BAS_003"
"806";"WVLBRN0422";"WV_BBV_002"
"807";"WVLDEP0164";"WES_002"
"808";"ANTHST0665";"AN_LAN_009"
"809";"WVLZNB0856";"WV_POB_001"
"810";"LIMLNK0245";"LI_ASP_002"
"811";"WVLBRU1212";"WV_ASS_001"
"812";"WVLBRU1216";"HEI_023"
"813";"VBRSZI0542";"VB_ABH_006"
"814";"LIMKIN0231";"LI_KES_001"
"815";"WVLHAR0329";"WV_GAV_001"
"816";"ANTWIL0020";"AN_HAZ_001"
"817";"ANTANT0297";"AN_BPE_001"
"818";"ANTWUU0153";"AN_E10_002"
"819";"ANTBRS0068";"AN_E10_001"
"820";"ANTVOR0058";"AN_BLO_001"
"821";"ANTBSE0215";"AN_BLA_002"
"822";"ANTLIL0415";"AN_GIE_001"
"823";"ANTTUR0207";"AN_MEL_001"
"824";"ANTMOL0036";"AN_MOL_002"
"825";"ANTRET0186";"AN_GOO_002"
"826";"ANTARE0200";"AN_ARE_001"
"827";"ANTMOL0164";"AN_MOL_001"
"828";"OVLBLE0018";"OV_DON_001"
"829";"WVLDEP0043";"WES_037"
"830";"WVLKNO0135";"HEI_055"
"831";"LIMHAS0629";"LI_GDL_001"
"832";"ANTMEC0388";"AN_MEC_001"
"833";"ANTRIJ0041";"AN_DVH_005"
"834";"ANTBSE0165";"AN_GKH_001"
"835";"LIMMSK0007";"LI_BER_001"
"836";"LIMMSK0134";"LI_BER_003"
"837";"ANTBRM0421";"AN_KRA_001"
"838";"ANTRIJ0308";"AN_DVH_002"
"839";"LIMLOM0467";"LI_SAH_001"
"840";"ANTBCT0528";"AN_KOO_002"
"841";"ANTBCT0544";"AN_RVS_002"
"842";"ANTMAL0136";"AN_DVH_001"
"843";"ANTMOL0152";"AN_DIE_001"
"844";"OVLDEI0194";"OV_VOS_001"
"845";"OVLGNT0197";"OV_LEE_001"
"846";"WVLDEP0008";"WV_CAB_009"
"847";"WVLDEP0012";"WV_CAB_010"
"848";"WVLDEP0018";"CAB_007"
"849";"WVLKOK0007";"NOD_024"
"850";"WVLKOK0013";"DOP_004"
"851";"WVLKOK0041";"WV_DUI_001"
"852";"WVLBRN0145";"WV_BUL_001"
"853";"WVLDEH0013";"BRE_004"
"854";"WVLDEH0029";"BRE_005"
"855";"WVLBRU0368";"WV_ZEB_004"
"856";"WVLBLA0081";"WV_ZEB_002"
"857";"WVLBRU0374";"WV_ZEB_007"
"858";"WVLKNO0126";"HEI_061"
"859";"WVLBRU0795";"ZEB_005"
"860";"WVLDEP0130";"HOS_006"
"861";"LIMLNK0018";"LI_MAA_002"
"862";"ANTBRS0178";"AN_FOR_001"
"863";"ANTBSE0334";"AN_BLA_001"
"864";"ANTBSE0335";"AN_GKH_002"
"865";"ANTBSE0336";"AN_HUF_001"
"866";"ANTBSE0338";"AN_BLA_003"
"867";"OVLBLE0248";"OV_DON_002"
"868";"LIMZNH0539";"LI_MLV_001"
"869";"LIMDST0178";"LI_MAA_001"
"870";"LIMOPG0016";"LI_OPH_004"
"871";"ANTKAL0387";"AN_KAL_006"
"872";"LIMLNK0167";"LI_ZPB_001"
"873";"ANTZAN0176";"AN_PUL_002"
"874";"LIMZNH0619";"LI_TEU_008"
"875";"WVLKNO0364";"WV_ZWI_142"
"876";"WVLKNO0045";"WV_ZWI_139"
"877";"WVLKNO0012";"WV_ZWI_039"
"878";"WVLHOU0157";"WV_IJZ_001"
"879";"VBRHOL0037";"VB_HOL_001"
"880";"WVLKNO0075";"HEI_053"
"881";"WVLKNO0080";"HEI_058"
"882";"WVLKNO0092";"HEI_054"
"883";"WVLKNO0094";"HEI_057"
"884";"WVLKNO0098";"HEI_032"
"885";"WVLKNO0109";"HEI_044"
"886";"WVLKNO0119";"HEI_033"
"887";"WVLKNO0091";"HEI_052"
"888";"WVLKNO0116";"HEI_051"
"889";"WVLKNO0120";"HEI_050"
"890";"WVLKNO0121";"HEI_030"
"891";"WVLKNO0125";"HEI_048"
"892";"WVLKNO0134";"HEI_045"
"893";"WVLKNO0139";"HEI_060"
"894";"WVLKNO0142";"HEI_047"
"895";"WVLKNO0145";"HEI_038"
"896";"WVLKNO0154";"ZWI_058"
"897";"WVLKNO0171";"ZWI_035"
"898";"WVLKNO0174";"ZWI_182"
"899";"WVLKNO0176";"ZWI_053"
"900";"WVLKNO0181";"ZWI_054"
"901";"WVLKNO0197";"ZWI_034"
"902";"WVLKNO0200";"ZWI_055"
"903";"WVLKNO0222";"ZWI_183"
"904";"WVLKNO0230";"ZWI_057"
"905";"WVLKNO0236";"ZWI_064"
"906";"WVLKNO0240";"ZWI_185"
"907";"WVLKNO0257";"ZWI_022"
"908";"WVLKNO0290";"ZWI_184"
"909";"WVLKNO0293";"ZWI_059"
"910";"WVLKNO0318";"HEI_031"
"911";"WVLKNO0338";"HEI_059"
"912";"WVLKNO0342";"HEI_046"
"913";"WVLKNO0354";"HEI_001c"
"914";"WVLKNO0391";"ZWI_186"
"915";"VBRSZI0197";"VB_VIJ_001"
"916";"LIMTES0126";"LI_ABH_003"
"917";"LIMGNK0375";"LI_WIK_010"
"918";"WVLDEH0339";"BDH_003"
"919";"VBRSZI0433";"VB_VIJ_002"
"920";"WVLDEP0162";"HOS_020"
"921";"WVLKNO0408";"ZWI_023"
"922";"WVLKNO0432";"ZWI_190"
"923";"ANTSTB0002";"AN_ATG_001"
"924";"ANTBRM0255";"AN_GRW_001"
"925";"ANTRAV0382";"AN_TUR_003"
"926";"LIMDPB0032";"LI_MAT_014"
"927";"ANTBRS0121";"AN_GSV_001"
"928";"ANTKAS0321";"AN_TIK_001"
"929";"ANTMOL0067";"AN_MUI_002"
"930";"ANTKAL0319";"AN_KAL_001"
"931";"ANTMOL0539";"AN_BAL_001"
"932";"ANTTUR0347";"AN_TIE_001"
"933";"ANTBSE0159";"AN_BEE_005"
"934";"OVLBLE0193";"OV_DON_003"
"935";"VBRZOU0028";"VB_VIN_001"
